Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust,Geo,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,03:59,04:04,04:09,04:14,04:19,04:24,04:29,04:34,04:39,04:44,04:49,04:54,04:59,05:04,05:09,05:14,05:19,05:24,05:29,05:34,05:39,05:44,05:49,05:54,05:59,06:04,06:09,06:14,06:19,06:24,06:29,06:34,06:39,06:44,06:49,06:54,06:59,07:04,07:09,07:14,07:19,07:24,07:29,07:34,07:39,07:44,07:49,07:54,07:59,08:04,08:09,08:14,08:19,08:24,08:29,08:34,08:39,08:44,08:49,08:54,08:59,09:04,09:09,09:14,09:19,09:24,09:29,09:34,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549754715547,Europe/Helsinki,10. 02. 2019 01:25,10. 02. 2019 09:34,10. 02. 2019 09:00,8.150,0.0,  #home,10005,-1,0.16669825,8,0.5408163,-17,e3a48149,10.0,1.4900389,1.4033347,1.620616,1.4041635,1.541455,3.862956,1.7724981,1.5645667,1.3054389,1.4729009,1.5062221,1.4849025,4.4924912,2.0232096,2.9322224,4.744998,1.8441663,2.9046688,1.6410624,2.9194572,1.4935198,1.398532,3.5506756,1.3629252,2.159581,1.6180863,3.5119,3.0538316,1.4040173,6.2266307,1.7915223,4.5248184,2.7724638,2.0824091,2.4932506,1.3503773,1.5407711,1.4164398,1.4222142,1.6248528,1.512048,1.4928584,3.4122255,5.1446466,2.0393295,3.2927413,1.438989,1.478149,2.817121,1.5509447,1.4403559,3.7697093,3.4496653,1.4340851,1.4716132,2.670668,2.5238287,3.6189187,2.8104138,7.244136,10.0,3.0132377,5.272036,1.5204988,1.3584223,2.2524235,1.2882752,1.5013548,1.6519514,1.3553267,1.4449328,1.3708279,1.4942628,1.4110348,1.3818744,3.501296,3.4921973,6.1590586,4.803923,10.0,3.1232626,2.295735,9.774703,1.4352808,9.738831,1.3933866,8.394025,2.1589017,6.664253,2.8004148,7.1618786,5.1646347,7.7421427,4.9548864,8.3178835,1.4442103,7.693078,LIGHT_START-1549754715547,LIGHT_END-1549755015547,DEEP_START-1549755015547,AWAKE_START-1549755016081,AWAKE_END-1549755316081,LIGHT_START-1549756515547,DEEP_END-1549756515547,LIGHT_END-1549756815547,DEEP_START-1549756815547,LIGHT_START-1549758615547,DEEP_END-1549758615547,LIGHT_END-1549759815547,DEEP_START-1549759815547,LIGHT_START-1549761615547,DEEP_END-1549761615547,LIGHT_END-1549761915547,DEEP_START-1549761915547,LIGHT_START-1549762815547,DEEP_END-1549762815547,LIGHT_END-1549764615547,DEEP_START-1549764615547,REM_START-1549766415547,REM_END-1549767615547,LIGHT_START-1549767615547,DEEP_END-1549767615547,LIGHT_END-1549768215547,DEEP_START-1549768215547,LIGHT_START-1549770315547,DEEP_END-1549770315547,LIGHT_END-1549770915547,DEEP_START-1549770915547,LIGHT_START-1549772115547,DEEP_END-1549772115547,LIGHT_END-1549773915547,DEEP_START-1549773915547,REM_START-1549776315547,REM_END-1549777515547,LIGHT_START-1549777515547,DEEP_END-1549777515547,ALARM_EARLIEST-1549780200000,ALARM_STARTED-1549780275461,AWAKE_START-1549780313357,ALARM_SNOOZE-1549780313357,ALARM_SNOOZE-1549780314842,AWAKE_END-1549780434842,ALARM_STARTED-1549780914913,AWAKE_START-1549780928015,ALARM_SNOOZE-1549780928015,AWAKE_END-1549781048015,ALARM_STARTED-1549781528055,AWAKE_START-1549781574939,ALARM_SNOOZE-1549781574939,AWAKE_END-1549781694939,ALARM_LATEST-1549782000000,ALARM_STARTED-1549782175032,AWAKE_START-1549782183716,ALARM_SNOOZE-1549782183716,AWAKE_END-1549782303716,ALARM_STARTED-1549782783767,AWAKE_START-1549782792690,ALARM_SNOOZE-1549782792690,AWAKE_END-1549782912690,ALARM_STARTED-1549783392723,AWAKE_START-1549783408534,ALARM_SNOOZE-1549783408534,AWAKE_END-1549783528534,ALARM_STARTED-1549784008569,ALARM_DISMISS-1549784064096,LIGHT_END-1549784064820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20641.924,193.70406,120.35056,114.73527,95.44125,237.13298,276.8758,378.0833,997.8971,997.87354,128.7886,176.70834,170.76482,175.69394,502.15005,504.37537,338.44156,338.44788,95.27802,84.53562,460.8203,460.76505,237.11389,254.71652,889.08734,889.3141,239.87756,241.32903,441.24582,215.09988,657.7052,667.23474,357.06503,253.62393,60.874313,120.76244,117.26502,68.36918,76.64395,89.38387,895.7589,895.5268,145.94492,246.83691,406.1742,405.4474,131.63696,242.11682,559.16345,555.23096,308.20062,307.47357,158.73782,194.10638,3313.0493,28324.68,24863.686,207.83609,207.06519,64.43499,82.11657,177.44812,340.58383,340.5287,52.78889,55.79349,60.404976,65.02195,59.670494,169.45773,143.51596,20642.553,20642.553,20642.553,20642.553,20642.553,20642.553,26007.986,20642.553,26008.002,305.8475,26007.99,20642.553,26007.994,20642.756,26008.115,26007.986,26008.312,20642.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust,Geo,01:31,01:36,01:41,01:46,01:51,01:56,02:01,02:06,02:11,02:16,02:21,02:26,02:31,02:36,02:41,02:46,02:51,02:56,03:01,03:06,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,04:59,05:04,05:09,05:14,05:19,05:24,05:29,05:34,05:39,05:44,05:49,05:54,05:59,06:04,06:09,06:14,06:19,06:24,06:29,06:34,06:39,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549668416581,Europe/Helsinki,09. 02. 2019 01:26,09. 02. 2019 06:39,09. 02. 2019 06:30,5.200,0.0,La version d’essai a expiré. Le suivi ne fonctionnera pas aujourd’hui et tous les deux jours. Veuillez considérer l’achat de la version illimitée!   #home,10005,-1,0.021172116,-1,-1.0,-2,e3a48149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEEP_START-1549668416581,ALARM_EARLIEST-1549684200000,ALARM_LATEST-1549686600000,ALARM_STARTED-1549686600210,AWAKE_START-1549686674468,ALARM_SNOOZE-1549686674468,AWAKE_END-1549686794468,DEEP_END-1549687143942,ALARM_EARLIEST-1549770600000,ALARM_LATEST-1549773000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3631.0098,1397.7258,336.12692,224.64171,296.2694,296.97928,37.61076,38.583115,36.434616,169.15724,166.8297,44.487103,38.178757,83.172165,56.157303,130.5206,130.42589,38.532444,126.88555,122.018135,236.3321,81.51882,122.615654,105.291794,255.86917,124.5085,236.79681,232.57846,196.22116,365.21814,365.0917,67.083,58.961704,39.755913,39.293053,139.86507,139.91072,106.44301,206.10968,206.1485,64.02714,1038.2487,174.36859,180.80843,135.2752,521.7953,521.79205,149.73245,412.10156,413.81815,342.43613,340.89084,50.106113,37.3083,153.75722,168.76506,171.02823,251.5493,265.68018,138.48184,43.631832,101.07725,40.994846,127.61918,127.683945,37.349205,38.052563,38.30679,36.64179,36.534218,38.346615,38.092922,40.139828,350.3968,350.3968,105.51673,115.609695,141.98354,64.30566,42.899353,56.11679,58.479584,20642.553,20642.553,49.75275,37.84907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust,Geo,00:20,00:25,00:30,00:35,00:40,00:44,00:49,00:54,00:59,01:04,01:09,01:14,01:19,01:24,01:29,01:34,01:39,01:44,01:49,01:54,01:59,02:04,02:09,02:14,02:19,02:24,02:29,02:34,02:39,02:44,02:49,02:53,02:58,03:03,03:08,03:13,03:18,03:23,03:28,03:33,03:38,03:43,03:48,03:53,03:58,04:03,04:08,04:13,04:18,04:23,04:28,04:33,04:38,04:43,04:48,04:53,04:58,05:03,05:07,05:12,05:17,05:22,05:27,05:32,05:37,05:42,05:47,05:52,05:57,06:02,06:07,06:12,06:17,06:22,06:27,Event,Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549577712433,Europe/Helsinki,08. 02. 2019 00:15,08. 02. 2019 06:27,08. 02. 2019 06:30,6.200,0.0,La version d’essai a expiré. Le suivi ne fonctionnera pas aujourd’hui et tous les deux jours. Veuillez considérer l’achat de la version illimitée!       #home,10005,-1,0.11263161,-1,-2.0,0,e3a48149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALARM_EARLIEST-1549597800000,ALARM_LATEST-1549600200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14126.279,184.01122,41.862225,47.646866,44.075634,39.908493,8666.389,8666.389,237.52805,170.03976,114.43051,84.13605,62.87125,64.405655,36.821953,91.056656,190.26973,97.28736,86.80237,211.3143,210.48416,42.239704,112.89316,523.2763,595.0662,354.15207,353.39594,130.38742,69.60293,68.41025,89.74251,93.43597,151.10536,162.78633,154.42418,69.37646,522.6384,433.9741,207.28754,469.70538,477.00964,126.66426,196.82407,54.77226,245.87311,256.9785,109.85256,109.19004,148.63467,361.51978,302.1933,93.8655,323.048,376.6906,188.20464,204.4401,344.78314,127.17146,96.050125,190.1033,190.09357,103.507675,332.85617,20642.553,37.28206,36.041237,37.01351,247.67854,248.83678,56.102737,311.94717,311.938,36.972897,43.216194,58.097668,170.33012,70.99508,179.34271,84.33825,164.28482,164.27249,58.61718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust,Geo,01:48,01:53,01:58,02:03,02:08,02:13,02:18,02:23,02:28,02:33,02:38,02:43,02:48,02:53,02:58,03:03,03:08,03:13,03:17,03:22,03:27,03:32,03:37,03:42,03:47,03:52,03:57,04:02,04:07,04:12,04:17,04:22,04:27,04:32,04:37,04:42,04:47,04:52,04:57,05:02,05:07,05:12,05:17,05:21,05:26,05:31,05:36,05:41,05:46,05:51,05:56,06:01,06:06,06:11,06:16,06:21,06:26,06:31,06:36,06:41,06:46,06:51,06:56,07:01,07:06,07:11,07:16,07:21,07:25,07:30,07:35,07:40,07:45,07:50,07:55,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
